trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
341,False,"{'a': 0.2, 'e': 0.03337326996032608}",25,13,20.12294554577652,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.2, 'e': 0.03304120037588693}",30,7,37.43617301888456,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.2, 'e': 0.03271243493901982}",20,10,16.61240740616588,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.2, 'e': 0.03238694077290704}",25,13,19.26352482767756,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.2, 'e': 0.03206468532786077}",25,18,13.584043640639152,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.2, 'e': 0.03174563637806794}",35,13,40.23149029571927,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.2, 'e': 0.03142976201836771}",25,12,23.00358110132361,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.2, 'e': 0.03111703066106086}",20,8,23.590647904528907,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.2, 'e': 0.030807411032751076}",30,13,14.004351375529001,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
350,False,"{'a': 0.2, 'e': 0.030500872171217483}",25,0,38.25766513406272,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
351,False,"{'a': 0.2, 'e': 0.0301973834223185}",25,15,18.9073865518235,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.2, 'e': 0.029896914436926308}",30,18,24.930206310096292,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.2, 'e': 0.029599435167892}",25,13,21.670748573634345,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.2, 'e': 0.029304915867040746}",20,12,13.218761728153913,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.2, 'e': 0.029013327082197053}",30,23,15.983400536476054,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.2, 'e': 0.028724639654239423}",25,11,17.547836078871175,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
