trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.70228198049034,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,14,-24.136852896015487,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.06122153459101,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.3001689228585,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
