trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,0,-99.31095445071661,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",35,0,-119.25879668584957,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-84.24413840579571,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,19,4.54262826784318,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",35,0,-153.3596568662068,"{0: 25, 1: 2, 2: 5, 3: 0, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,0,-86.19919569703121,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,8,4.300377843426604,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,5,-103.69983901059767,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 2}",1
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,10,4.129615928778284,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,0,-146.44126795587545,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,0,-52.63137874318903,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,0,-76.97922567999716,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,0,-11.878850169738289,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,0,-7.444149062820805,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,0,-99.2683220220715,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,0,15.644104321393314,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",25,1,-59.953762551725006,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,6,-61.80876868156821,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,0,-128.0322771795903,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
